FlairSentiment,const,Week Number,case number,case rate,death number,death rate,Type_Prison,Level_Federal,Level_State,Type_case number,Type_case rate,Type_death number,Type_death rate
0,1.0,49,3.0,0.0014844136566056,1.0,0.0004948045522018,1,0,1,3.0,0.0014844136566056,1.0,0.0004948045522018
0,1.0,49,3.0,0.0014844136566056,1.0,0.0004948045522018,1,0,1,3.0,0.0014844136566056,1.0,0.0004948045522018
0,1.0,45,3.0,0.0009832841691248,0.0,0.0,1,0,1,3.0,0.0009832841691248,0.0,0.0
0,1.0,46,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
1,1.0,52,69.0,0.0226155358898722,0.0,0.0,1,0,1,69.0,0.0226155358898722,0.0,0.0
0,1.0,52,69.0,0.0226155358898722,0.0,0.0,1,0,1,69.0,0.0226155358898722,0.0,0.0
0,1.0,55,64.0,0.0209767289413307,0.0,0.0,1,0,1,64.0,0.0209767289413307,0.0,0.0
1,1.0,56,205.0,0.0671910848901999,0.0,0.0,1,0,1,205.0,0.0671910848901999,0.0,0.0
0,1.0,45,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
0,1.0,45,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
0,1.0,49,365.0,0.0959768603733894,1.0,0.0002629503023928,1,0,1,365.0,0.0959768603733894,1.0,0.0002629503023928
1,1.0,53,62.0,0.0163029187483566,0.0,0.0,1,0,1,62.0,0.0163029187483566,0.0,0.0
0,1.0,54,32.0,0.0084144096765711,1.0,0.0002629503023928,1,0,1,32.0,0.0084144096765711,1.0,0.0002629503023928
0,1.0,54,32.0,0.0084144096765711,1.0,0.0002629503023928,1,0,1,32.0,0.0084144096765711,1.0,0.0002629503023928
0,1.0,54,32.0,0.0084144096765711,1.0,0.0002629503023928,1,0,1,32.0,0.0084144096765711,1.0,0.0002629503023928
0,1.0,68,1.0,0.0002629503023928,0.0,0.0,1,0,1,1.0,0.0002629503023928,0.0,0.0
0,1.0,68,1.0,0.0002629503023928,0.0,0.0,1,0,1,1.0,0.0002629503023928,0.0,0.0
0,1.0,68,1.0,0.0002629503023928,0.0,0.0,1,0,1,1.0,0.0002629503023928,0.0,0.0
