file_name,date,prison_name,tags
Calipatria_20210203_384_FULL_Stress,20210203,Calipatria,['Stress']
Calipatria_20210204_378_FULL_Infections_PrisonConditions_StressandCoping,20210204,Calipatria,"['Infection', ' Prison Conditions', ' Stress']"
Calipatria_20210205_387_FULL,20210205,Calipatria,"['Infection', ' Stress']"
Calipatria_20210205_389a_FULL,20210205,Calipatria,"['Prison Conditions', ' Family']"
Calipatria_20210205_389b_FULL,20210205,Calipatria,"['Prison Conditions', ' Family', ' Stress']"
Calipatria_20210205_390_FULL_PrisonConditions,20210205,Calipatria,['Prison Conditions']
Calipatria_20210208_350_Full_Infection_Family,20210208,Calipatria,"['Infection', ' Family']"
Calipatria_20210210_360_FULL,20210210,Calipatria,['']
Calipatria_20210211_445_FULL_Infections_Programs_Prison Conditions,20210211,Calipatria,"['Infection', ' Program', ' Prison Conditions']"
Calipatria_20210222_458_FULL_Infection_PrisonConditions,20210222,Calipatria,"['Infection', ' Prison Conditions']"
Calipatria_20210312_658_Full,20210312,Calipatria,['']
Calipatria_20210316_553 _FULL_Infection_Programs_Prison Conditions,20210316,Calipatria,"['Infection', ' Programs', ' Prison Conditions']"
Calipatria_20210323_644_Full,20210323,Calipatria,['']
Calipatria_20210329_598_Full,20210329,Calipatria,['']
Calipatria_20210401_605_Full,20210401,Calipatria,['']
Calipatria_20210406_964_FULL,20210406,Calipatria,['']
Centinela_20201123_070_FULL,20201123,Centinela,"['Family', ' Stress', ' Prison Conditions']"
Centinela_20201204_82_PrisonConditions,20201204,Centinela,['Prison Conditions']
Centinela_20210223_452_Full,20210223,Centinela,['']
Centinela_20210331_615_FULL,20210331,Centinela,['']
Chino_20200430_72_FULL,20200430,Chino,['']
Chino_20200828_136_FULL,20200828,Chino,['']
Chino_20201130_074_FULL,20201130,Chino,"['Prison Conditions', ' Infection', ' Stress']"
Chino_20201130_97_Infection,20201130,Chino,"['Infection', ' Prison Conditions', ' Stress']"
Chino_20201201_103_FULL,20201201,Chino,['']
Chino_20201201_104_FULL,20201201,Chino,['']
Chino_20201205_92_Full,20201205,Chino,['']
Chino_20201209_139_FullPrograms,20201209,Chino,['Programs']
Chino_20201213_137_Full_Infection_Stress,20201213,Chino,"['Infection', ' Stress']"
Chino_20201214_138_Full_Programs_PrisonConditions,20201214,Chino,"['Program', ' Prison Conditions']"
Chino_20201214_140_Full,20201214,Chino,['']
Chino_20201218_174_FULL,20201218,Chino,"['Prison Conditions', ' Stress']"
Chino_20201218_206_Full,20201218,Chino,['Prison Conditions']
Chino_20201223_207_FULL,20201223,Chino,['']
Chino_20201223_208_Full,20201223,Chino,"['Family', ' Stress', ' Prison Conditions']"
Chino_20201223_209_FULL,20201223,Chino,['']
Chino_20201228_178_FULL_PrisonConditions_Infection,20201228,Chino,"['Prison Conditions', ' Infection']"
Chino_20201231_186_FULL,20201231,Chino,['']
Chino_20201231_201_Full,20201231,Chino,['']
Chino_20210106_249_Full,20210106,Chino,['Family']
Chino_20210312_659_FULL_PrisonConditions_Stress,20210312,Chino,"['Prison Conditions', ' Stress', ' Featured']"
Chowchilla_ 20210201_373_FULL,20210201,Chowchilla_,['Stress']
Chowchilla_20201123_069_FULL,20201123,Chowchilla,"['Prison Conditions', ' Programs', ' Family']"
Chowchilla_20201124_062_FULL,20201124,Chowchilla,['']
Chowchilla_20201204_84_FULL,20201204,Chowchilla,"['Stress', ' Prison Conditions']"
