Filename,Sentiment,Subjectivity,Negative Sentiment,Neutral Sentiment,Positive Sentiment,Compound Sentiment,prison_name,County,population,tags,Start Date,End Date,date,cases,deaths,Subjectivity_BoxCox,Case/Population,Death/Population
Chuckawalla_20201211_05_20_FULL,NEGATIVE,3.18288803100031E-05,0.075,0.826,0.1,0.9853,Chuckawalla,Riverside,2468145.0,[''],2020-12-04,2020-12-11,2020-12-11,23626.0,171.0,-17.666548481358500,0.009572371153234520,6.92828014561543E-05
CSATF_20201214_141_FULL,POSITIVE,0.993283182382584,0.08,0.745,0.175,0.9991,CSATF,Kings,156444.0,[''],2020-12-07,2020-12-14,2020-12-14,1385.0,7.0,-0.0067416436561839,0.008853008105136660,4.47444452967196E-05
Tehachapi_20201214_145_PrisonConditions_Infection,NEGATIVE,1.45435333251953E-05,0.074,0.758,0.169,0.9896,Tehachapi,Kern,927251.0,"['Prison Conditions', ' Infection']",2020-12-07,2020-12-14,2020-12-14,7674.0,43.0,-19.850171445897000,0.008276076272767570,4.63736356175405E-05
Solano_20201214_8_13_FULL,NEGATIVE,1.8477439879816E-06,0.06,0.832,0.108,0.9974,Solano,Solano,444255.0,[''],2020-12-07,2020-12-14,2020-12-14,2556.0,3.0,-26.447732941881000,0.005753452409089370,6.75287841442415E-06
Tehachapi_20201214_144_PrisonConditions,NEGATIVE,1.8477439879816E-06,0.153,0.758,0.089,-0.9562,Tehachapi,Kern,927251.0,"['Prison Conditions', ' Stress']",2020-12-07,2020-12-14,2020-12-14,7674.0,43.0,-26.447732941881000,0.008276076272767570,4.63736356175405E-05
Solano_20201214_7_54_FULL,NEGATIVE,5.96046447759457E-06,0.052,0.885,0.063,0.893,Solano,Solano,444255.0,[''],2020-12-07,2020-12-14,2020-12-14,2556.0,3.0,-22.544074880411800,0.005753452409089370,6.75287841442415E-06
Soledad_20201215_171_FULL_Infection_Programs_Stress,NEGATIVE,1.68085098266046E-05,0.096,0.784,0.12,0.9286,Soledad,Monterey,448732.0,"['Infection', ' Programs', ' Stress']",2020-12-08,2020-12-15,2020-12-15,3290.0,33.0,-19.43425886661070,0.007331770410846560,7.35405542729291E-05
CIW_20201215_131_FULL,NEGATIVE,0.0004153251647949,0.115,0.812,0.073,-0.9903,CIW,San Bernardino,2217398.0,[''],2020-12-08,2020-12-15,2020-12-15,30484.0,267.0,-11.549266456702000,0.013747644762013900,0.00012041140111067100
Tehachapi_20201215_133_FullFamily,NEGATIVE,9.25958156586248E-05,0.036,0.801,0.163,0.9812,Tehachapi,Kern,927251.0,"['Family', ' Prison Conditions', ' Programs']",2020-12-08,2020-12-15,2020-12-15,7718.0,48.0,-14.940374970398600,0.008323528365027380,5.17659188288824E-05
Chino_20201216_06_02_FULL,NEGATIVE,5.42402267456055E-05,0.069,0.815,0.116,0.9988,Chino,San Bernardino,2217398.0,[''],2020-12-09,2020-12-16,2020-12-16,31000.0,277.0,-16.271019903205900,0.01398034994168840,0.00012492119141444200
