Facility Name,Week Number,Positive_Count,Negative_Count,All Facilities Weekly Count,Specific Facility Weekly Count,All Facilities Weekly Positive Ratio,All Facilities Weekly Negative Ratio,Specific Facility Positive Ratio,Specific Facility Negative Ratio
Chowchilla,47,0,1,10,1,0.0,0.1,0.0,1.0
Chuckawalla,47,0,3,10,3,0.0,0.3,0.0,1.0
Soledad,47,0,1,10,1,0.0,0.1,0.0,1.0
Sonoma_Main,47,0,1,10,1,0.0,0.1,0.0,1.0
Tehachapi,47,0,1,10,1,0.0,0.1,0.0,1.0
Vacaville,47,0,1,10,1,0.0,0.1,0.0,1.0
CSATF,53,1,3,16,4,0.0625,0.1875,0.25,0.75
Donovan,53,0,3,16,3,0.0,0.1875,0.0,1.0
Folsom,53,0,1,16,1,0.0,0.0625,0.0,1.0
Mule Creek,53,1,0,16,1,0.0625,0.0,1.0,0.0
Soledad,53,2,4,16,6,0.125,0.25,0.3333333333333330,0.6666666666666670
Vacaville,53,0,1,16,1,0.0,0.0625,0.0,1.0
CSATF,54,0,5,15,5,0.0,0.3333333333333330,0.0,1.0
Chowchilla,54,0,1,15,1,0.0,0.06666666666666670,0.0,1.0
Donovan,54,0,2,15,2,0.0,0.13333333333333300,0.0,1.0
Mule Creek,54,0,3,15,3,0.0,0.2,0.0,1.0
Soledad,54,0,2,15,2,0.0,0.13333333333333300,0.0,1.0
Tehachapi,54,0,1,15,1,0.0,0.06666666666666670,0.0,1.0
Vacaville,54,0,1,15,1,0.0,0.06666666666666670,0.0,1.0
CSATF,57,0,1,11,1,0.0,0.09090909090909090,0.0,1.0
Calipatria,57,1,5,11,6,0.09090909090909090,0.45454545454545500,0.16666666666666700,0.8333333333333330
Chowchilla,57,0,1,11,1,0.0,0.09090909090909090,0.0,1.0
Norco,57,0,1,11,1,0.0,0.09090909090909090,0.0,1.0
Pleasant Valley,57,0,1,11,1,0.0,0.09090909090909090,0.0,1.0
Tehachapi,57,0,1,11,1,0.0,0.09090909090909090,0.0,1.0
CSATF,65,0,1,11,1,0.0,0.09090909090909090,0.0,1.0
