Filename,Negative Sentiment,Neutral Sentiment,Positive Sentiment,Compound Sentiment
Calipatria_20210212_437_FULL.txt,0.059,0.837,0.103,0.9876
Calipatria_20210212_437_Stress.txt,0.056,0.824,0.12,0.9754
Calipatria_20210216_418_FULL_Programms_Infection.txt,0.06,0.788,0.152,0.9809
Calipatria_20210217_07_39_Family.txt,0.062,0.757,0.181,0.9876
Calipatria_20210217_07_39_full.txt,0.067,0.725,0.208,0.9998
Calipatria_20210217_07_39_Infection.txt,0.048,0.804,0.148,0.9809
Calipatria_20210217_07_39_PrisonConditions.txt,0.032,0.818,0.15,0.9816
Calipatria_20210217_07_39_PrisonConditions2.txt,0.104,0.708,0.188,0.9945
Calipatria_20210222_3_32_FULL_PrisonConditions.txt,0.175,0.651,0.175,0.0
Calipatria_20210222_458_FULL_Infection_PrisonConditions.txt,0.081,0.75,0.168,0.9763
Calipatria_20210222_487a_FULL_Family_Programs_PrisonConditions.txt,0.103,0.737,0.16,0.9832
Calipatria_20210304_528_FULL_Infection_PrisonConditions.txt,0.073,0.882,0.045,-0.8253
Calipatria_20210304_533_FULL.txt,0.138,0.657,0.204,0.8628
Calipatria_20210312_658_Full.txt,0.079,0.763,0.158,0.9986
Calipatria_20210312_658_ProgramsPrisonConditions.txt,0.064,0.806,0.13,0.9901
Calipatria_20210316_552_FULL.txt,0.137,0.693,0.17,0.997
Calipatria_20210316_552_PrisonConditions_Programs.txt,0.057,0.761,0.182,0.9953
Calipatria_20210316_553_FULL_Infection_Programs_PrisonConditions.txt,0.092,0.724,0.184,0.9663
Calipatria_20210323_644_Full.docx,0.186,0.74,0.074,-0.9994
Calipatria_20210323_644_Full.txt,0.179,0.747,0.074,-0.9993
Calipatria_20210323_644_PrisonConditions.txt,0.202,0.732,0.066,-0.9986
Calipatria_20210329_598_FULL.txt,0.102,0.743,0.155,0.9939
Calipatria_20210329_598_PrisonConditions.txt,0.113,0.749,0.138,0.9661
Calipatria_20210401_605.docx,0.073,0.813,0.114,0.99
Calipatria_20210401_605_Full.txt,0.073,0.812,0.114,0.99
Calipatria_20210401_605_Infection_PrisonConditions.txt,0.077,0.81,0.113,0.9376
Calipatria_20210401_605_PrisonConditions.txt,0.061,0.894,0.045,-0.6863
Calipatria_20210406_964_Family_Stress.txt,0.196,0.659,0.145,-0.9553
Calipatria_20210406_964_FULL.txt,0.116,0.729,0.156,0.9805
Calipatria_20210406_964_Stress_PrisonConditions.txt,0.017,0.789,0.194,0.9928
Calipatria_20210503_1130_Family.txt,0.059,0.776,0.165,0.9968
Calipatria_20210503_1130_FULL.txt,0.059,0.776,0.165,0.9968
Calipatria_20210503_1130_prison Conditions.txt,0.086,0.815,0.099,0.7389
Calipatria_20210503_1130_Stress.txt,0.031,0.744,0.225,0.9947
Calipatria_20210629_1477_Family.txt,0.039,0.733,0.228,0.9947
Calipatria_20210629_1477_FULL.txt,0.028,0.734,0.238,0.9979
Calipatria_20210712_1492_FULL.txt,0.053,0.725,0.222,0.9884
Centinela_20201123_070_FULL.txt,0.076,0.865,0.059,-0.9006
Centinela_20201204_82_PrisonConditions.txt,0.154,0.769,0.077,-0.9949
Centinela_20210121_05_38_Family.txt,0.105,0.776,0.12,0.7596
Centinela_20210121_05_38_FULL.txt,0.085,0.729,0.187,0.9988
Centinela_20210121_05_38_Infection.txt,0.018,0.836,0.145,0.9883
Centinela_20210121_05_38_Prison Conditions.txt,0.116,0.722,0.162,0.8925
Centinela_20210223_452_Full.txt,0.107,0.725,0.167,0.9957
Centinela_20210223_452_PrisonConditions_Infection.txt,0.101,0.784,0.115,0.2666
Centinela_20210223_452_Programs_Family.txt,0.076,0.762,0.161,0.9876
Centinela_20210331_615_FULL.txt,0.055,0.783,0.163,0.9986
Centinela_20210331_615_Infection_Stress.txt,0.061,0.734,0.205,0.995
Centinela_20210331_615_Programs.txt,0.028,0.926,0.046,0.7372
Centinela_20210412_57555_FULL.txt,0.031,0.846,0.123,0.9995
Centinela_20210412_57555_PrisonConditions.txt,0.03,0.892,0.078,0.8922
Centinela_20210412_57555_Programs.txt,0.028,0.897,0.075,0.9552
Centinela_20210412_57555_Programs2.txt,0.049,0.761,0.19,0.9954
Centinela_20210412_57555_Stress.txt,0.046,0.886,0.068,0.8012
Centinela_20210420_705_Full.txt,0.09,0.749,0.161,0.9989
Centinela_20210420_705_PrisonConditions.txt,0.025,0.832,0.143,0.9887
Centinela_20210420_705_PrisonConditions_Family_Infection.txt,0.131,0.75,0.119,-0.9108
Centinela_20210420_705_Stress_Family_PrisonConditions.txt,0.042,0.809,0.15,0.98
Centinela_20210420_705_Stress_Infection.txt,0.141,0.696,0.163,0.7147
Chino_20200430_72_Family.txt,0.113,0.833,0.054,-0.4588
Chino_20200430_72_FULL.txt,0.094,0.842,0.064,-0.9494
Chino_20200430_72_infection.txt,0.098,0.838,0.064,-0.7152
Chino_20200430_72_prisonconditions.txt,0.074,0.916,0.011,-0.9429
Chino_20200828_136_family.txt,0.0,1.0,0.0,0.0
Chino_20200828_136_FULL.txt,0.066,0.677,0.257,0.9966
Chino_20200828_136_Prisonconditions.txt,0.177,0.664,0.159,-0.3222
Chino_20201130_074_Full.txt,0.157,0.751,0.092,-0.9992
Chino_20201130_074_PrisonConditions_Infection.txt,0.065,0.87,0.064,0.4926
Chino_20201130_074_Stress.txt,0.126,0.784,0.09,-0.9246
Chino_20201130_97_FULL.txt,0.076,0.787,0.137,0.9742
Chino_20201201_103_Full.txt,0.05,0.735,0.215,0.9991
Chino_20201201_103_PrisonConditions.txt,0.12,0.805,0.074,-0.9207
Chino_20201201_103_Stress_Family.txt,0.044,0.776,0.181,0.9936
Chino_20201201_104_FULL.txt,0.083,0.776,0.141,0.9871
Chino_20201201_104_Prison_Conditions1.txt,0.07,0.809,0.122,0.8891
Chino_20201201_104_Prison_Conditions2.txt,0.097,0.772,0.131,0.8928
Chino_20201201_233_FULL.txt,0.128,0.815,0.057,-0.9996
Chino_20201201_233_Infection1.txt,0.099,0.886,0.014,-0.9905
Chino_20201201_233_Infection2.txt,0.083,0.877,0.04,-0.915
Chino_20201201_233_PrisonConditions1.txt,0.164,0.783,0.053,-0.9961
Chino_20201201_233_PrisonConditions2.txt,0.058,0.912,0.03,-0.8774
Chino_20201201_233_Stress_PrisonConditions.txt,0.1,0.798,0.102,-0.6319
Chino_20201205_92_Family.txt,0.0,0.926,0.074,0.6249
Chino_20201205_92_FULL.txt,0.101,0.801,0.098,-0.9615
Chino_20201205_92_PrisonConditions1.txt,0.0,0.946,0.054,0.7748
Chino_20201205_92_PrisonConditions2.txt,0.062,0.858,0.08,0.7906
Chino_20201205_92_Stress.txt,0.106,0.857,0.037,-0.9371
Chino_20201208_05_53_FULL.txt,0.102,0.845,0.052,-0.9986
Chino_20201208_05_53_Infection.txt,0.031,0.908,0.061,0.4641
Chino_20201208_05_53_PrisonConditions.txt,0.058,0.851,0.091,0.9815
Chino_20201208_05_53_PrisonConditions2.txt,0.075,0.894,0.031,-0.9673
Chino_20201208_05_53_Stress.txt,0.174,0.813,0.013,-0.9756
Chino_20201208_05_53_Stress2.txt,0.093,0.824,0.084,0.2515
Chino_20201209_05_35_FULL_PrisonConditions.txt,0.212,0.788,0.0,-0.8658
Chino_20201209_139_FullPrograms.txt,0.04,0.84,0.12,0.9093
Chino_20201209_5_35_FULL_PrisonConditions.txt,0.319,0.681,0.0,-0.9274
Chino_20201211_0615_Family_Stress.txt,0.066,0.693,0.241,0.9627
Chino_20201211_0615_FULL.txt,0.108,0.815,0.077,-0.978
Chino_20201211_0615_Infection.txt,0.055,0.816,0.129,0.9648
