Week Number,Facility Name,Type,Level,Total Count,Facility Count,Facility Flair Mean ,Facility Flair 25%,Facility Flair 75%,Facility Flair Max,Facility Flair Min
62,High Desert,Prison,State,12,1,-0.99999475479126,-0.99999475479126,-0.99999475479126,-0.99999475479126,-0.99999475479126
63,High Desert,Prison,State,24,1,0.969406068325043,0.969406068325043,0.969406068325043,0.969406068325043,0.969406068325043
59,Wasco,Prison,State,11,1,-0.999981880187988,-0.999981880187988,-0.999981880187988,-0.999981880187988,-0.999981880187988
60,Wasco,Prison,State,26,4,-0.4700502008199690,-0.9968736916780470,-0.3517232835292820,0.876627683639526,-0.999734938144684
61,Wasco,Prison,State,4,1,-0.992153227329254,-0.992153227329254,-0.992153227329254,-0.992153227329254,-0.992153227329254
63,Wasco,Prison,State,24,3,-0.9978603720664980,-0.99827766418457,-0.99751478433609,-0.997025787830353,-0.998551547527313
65,Wasco,Prison,State,11,1,-0.999005615711212,-0.999005615711212,-0.999005615711212,-0.999005615711212,-0.999005615711212
68,Wasco,Prison,State,51,1,-0.994458317756653,-0.994458317756653,-0.994458317756653,-0.994458317756653,-0.994458317756653
62,Jamestown,Prison,State,12,2,-0.9995777308940890,-0.9996529370546340,-0.9995025247335430,-0.999427318572998,-0.999728143215179
63,Jamestown,Prison,State,24,4,-0.9978994727134710,-0.9989534318447110,-0.9968453049659730,-0.995826780796051,-0.999972581863403
68,Jamestown,Prison,State,51,1,-0.999918222427368,-0.999918222427368,-0.999918222427368,-0.999918222427368,-0.999918222427368
63,SalinasValley,Prison,State,24,1,-0.999935388565064,-0.999935388565064,-0.999935388565064,-0.999935388565064,-0.999935388565064
66,SalinasValley,Prison,State,4,1,-0.988292992115021,-0.988292992115021,-0.988292992115021,-0.988292992115021,-0.988292992115021
68,SalinasValley,Prison,State,51,7,-0.9854312453951160,-0.9997192919254310,-0.9861075282096860,-0.928499042987824,-0.99998676776886
69,SalinasValley,Prison,State,58,4,-0.6159700751304630,-0.9993353784084330,-0.6151731908321380,0.533080577850342,-0.999883890151978
72,SalinasValley,Prison,State,8,1,-0.999924302101135,-0.999924302101135,-0.999924302101135,-0.999924302101135,-0.999924302101135
