Week Number,Facility Name,Type,Level,Total Count,Facility Count,Facility Flair Mean ,Facility Flair 25%,Facility Flair 75%,Facility Flair Max,Facility Flair Min
47,Chuckawalla,Prison,State,10,3,-0.9998339811960850,-0.9999933242797850,-0.9997537732124320,-0.999515295028686,-0.999994397163391
48,Chuckawalla,Prison,State,13,1,-0.999981999397278,-0.999981999397278,-0.999981999397278,-0.999981999397278,-0.999981999397278
49,Chuckawalla,Prison,State,23,2,-0.9986843168735500,-0.9993103295564650,-0.9980583041906360,-0.997432291507721,-0.99993634223938
45,Ironwood,Prison,State,12,1,-0.999985575675964,-0.999985575675964,-0.999985575675964,-0.999985575675964,-0.999985575675964
46,Ironwood,Prison,State,3,1,-0.999989867210388,-0.999989867210388,-0.999989867210388,-0.999989867210388,-0.999989867210388
52,Ironwood,Prison,State,18,2,-0.09628334641456600,-0.5450751036405560,0.3525084108114250,0.801300168037415,-0.993866860866547
55,Ironwood,Prison,State,14,1,-0.999993085861206,-0.999993085861206,-0.999993085861206,-0.999993085861206,-0.999993085861206
56,Ironwood,Prison,State,11,1,0.918390452861786,0.918390452861786,0.918390452861786,0.918390452861786,0.918390452861786
45,Mule Creek,Prison,State,12,2,-0.9999377131462100,-0.9999544322490700,-0.9999209940433500,-0.999904274940491,-0.999971151351929
49,Mule Creek,Prison,State,23,1,-0.999870419502258,-0.999870419502258,-0.999870419502258,-0.999870419502258,-0.999870419502258
53,Mule Creek,Prison,State,16,1,0.778340637683868,0.778340637683868,0.778340637683868,0.778340637683868,0.778340637683868
54,Mule Creek,Prison,State,15,3,-0.9998610019683840,-0.9999716877937320,-0.99979567527771,-0.999639630317688,-0.999991655349731
68,Mule Creek,Prison,State,51,3,-0.9363705913225810,-0.995981067419052,-0.9057199954986570,-0.817149639129639,-0.997671782970428
69,Mule Creek,Prison,State,58,3,-0.9978868762652080,-0.999832808971405,-0.996832937002182,-0.993995010852814,-0.99999475479126
72,Mule Creek,Prison,State,8,3,-0.9885996182759600,-0.999981999397278,-0.9829041957855230,-0.965834856033325,-0.999990463256836
73,Mule Creek,Prison,State,1,1,-0.999744832515717,-0.999744832515717,-0.999744832515717,-0.999744832515717,-0.999744832515717
46,CIW,Prison,State,3,1,-0.99998927116394,-0.99998927116394,-0.99998927116394,-0.99998927116394,-0.99998927116394
48,CIW,Prison,State,13,2,-0.9999669790267940,-0.9999709129333500,-0.9999630451202390,-0.999959111213684,-0.999974846839905
49,CIW,Prison,State,23,2,-0.9924502670764920,-0.9961915165185930,-0.9887090176343920,-0.984967768192291,-0.999932765960693
50,CIW,Prison,State,17,2,-0.9993317127227780,-0.9994128942489620,-0.999250531196594,-0.99916934967041,-0.999494075775146
51,CIW,Prison,State,15,1,-0.999991178512573,-0.999991178512573,-0.999991178512573,-0.999991178512573,-0.999991178512573
52,CIW,Prison,State,18,1,-0.99963653087616,-0.99963653087616,-0.99963653087616,-0.99963653087616,-0.99963653087616
63,CIW,Prison,State,24,1,-0.999935984611511,-0.999935984611511,-0.999935984611511,-0.999935984611511,-0.999935984611511
64,CIW,Prison,State,12,1,-0.999310851097107,-0.999310851097107,-0.999310851097107,-0.999310851097107,-0.999310851097107
47,Tehachapi,Prison,State,10,1,-0.995398938655853,-0.995398938655853,-0.995398938655853,-0.995398938655853,-0.995398938655853
48,Tehachapi,Prison,State,13,3,-0.8529102802276610,-0.9812085032463080,-0.7793872952461250,-0.596313834190369,-0.999956250190735
49,Tehachapi,Prison,State,23,12,-0.9440006166696550,-0.9994866997003560,-0.983681082725525,-0.529322326183319,-0.999975562095642
50,Tehachapi,Prison,State,17,5,-0.9957773089408880,-0.99997091293335,-0.999291062355042,-0.979813456535339,-0.999996304512024
