Filename,Date,Sentiment Numeric,FlairSentiment,FlairPolarity,NLTK_Negative,NLTK_Neutral,NLTK_Positive,NLTK_Compound,Facility Name,Name in Prison,County,Population,Level,Type,Tags,Week Number,Start Date,End Date,case number,case rate,death number,death rate,Persent Occupied
Donovan_20210419_699_FULL_PrisonConditionsFamilyStress,2021-04-19,0,NEGATIVE,-0.977401494979858,0.03,0.746,0.225,0.9966,Donovan,Richard J. Donovan Correctional Facility (RJD),San Diego,3291.0,State,Prison,"['Prison Conditions', ' Family', ' Stress']",68,2021-04-19,2021-04-25,0.0,0.0,0.0,0.0,110.0
Donovan_20210422_803_FULL,2021-04-22,1,POSITIVE,0.590237498283386,0.032,0.779,0.189,0.9929,Donovan,Richard J. Donovan Correctional Facility (RJD),San Diego,3291.0,State,Prison,[''],68,2021-04-19,2021-04-25,0.0,0.0,0.0,0.0,110.0
Donovan_20210422_802_Full_InfectionPrisonConditions,2021-04-22,0,NEGATIVE,-0.999988198280334,0.137,0.776,0.086,-0.9211,Donovan,Richard J. Donovan Correctional Facility (RJD),San Diego,3291.0,State,Prison,"['Infection', ' Prison Conditions']",68,2021-04-19,2021-04-25,0.0,0.0,0.0,0.0,110.0
Donovan_20210422_772_FULL_Infection_PrisonConditions,2021-04-22,0,NEGATIVE,-0.999187171459198,0.06,0.802,0.139,0.9844,Donovan,Richard J. Donovan Correctional Facility (RJD),San Diego,3291.0,State,Prison,"['Infection', ' Prison Conditions']",68,2021-04-19,2021-04-25,0.0,0.0,0.0,0.0,110.0
Donovan_20210422_804_FULL,2021-04-22,0,NEGATIVE,-0.912139058113098,0.097,0.72,0.184,0.9952,Donovan,Richard J. Donovan Correctional Facility (RJD),San Diego,3291.0,State,Prison,[''],68,2021-04-19,2021-04-25,0.0,0.0,0.0,0.0,110.0
Donovan_20210426_818_FULL,2021-04-26,1,POSITIVE,0.858485102653503,0.09,0.789,0.122,0.9616,Donovan,Richard J. Donovan Correctional Facility (RJD),San Diego,3291.0,State,Prison,[''],69,2021-04-26,2021-05-02,0.0,0.0,0.0,0.0,110.0
Donovan_20210426_817_FULL_PrisonConditions_Infection_Stress,2021-04-26,0,NEGATIVE,-0.999990224838257,0.049,0.785,0.166,0.9954,Donovan,Richard J. Donovan Correctional Facility (RJD),San Diego,3291.0,State,Prison,"['Prison Conditions', ' Infection', ' Stress', ' Featured']",69,2021-04-26,2021-05-02,0.0,0.0,0.0,0.0,110.0
Donovan_20210427_899_FULL_Infection,2021-04-27,0,NEGATIVE,-0.999963879585266,0.023,0.802,0.175,0.9528,Donovan,Richard J. Donovan Correctional Facility (RJD),San Diego,3291.0,State,Prison,['Infection'],69,2021-04-26,2021-05-02,0.0,0.0,0.0,0.0,110.0
Donovan_20210427_785_FULL_Family_Infection,2021-04-27,0,NEGATIVE,-0.999955177307129,0.056,0.854,0.09,0.9785,Donovan,Richard J. Donovan Correctional Facility (RJD),San Diego,3291.0,State,Prison,"['Family', ' Infection']",69,2021-04-26,2021-05-02,0.0,0.0,0.0,0.0,110.0
Donovan_20210427_767_FULL_Family_Infection_PrisonConditions,2021-04-27,0,NEGATIVE,-0.997773110866547,0.116,0.737,0.146,0.9508,Donovan,Richard J. Donovan Correctional Facility (RJD),San Diego,3291.0,State,Prison,"['Family', ' Infection', ' Prison Conditions']",69,2021-04-26,2021-05-02,0.0,0.0,0.0,0.0,110.0
