word,positive_count,negative_count,part_of_speech
whos,16,96,NN
june,17,96,NN
passing,10,96,NN
offer,10,96,NN
address,12,96,NN
ten,10,96,NNS
frustrating,5,96,VBG
seemed,17,96,VBD
crime,21,95,NN
play,12,95,NN
sanitizer,4,95,NN
example,13,95,NN
book,25,95,NN
hurt,14,95,NN
straight,7,95,NN
serving,6,95,VBG
decided,20,95,VBD
trust,16,94,NN
store,15,94,NN
bye,11,94,NN
c,12,94,NNS
brother,16,94,NN
helped,29,94,VBD
cough,4,93,NN
paid,6,93,NN
rights,5,93,NNS
valley,15,93,NN
reality,14,93,NN
classes,24,93,NNS
cellmate,16,93,NN
gloves,8,92,NNS
pod,9,92,NN
hasnt,15,92,NN
sort,13,92,NN
staying,22,92,VBG
youll,7,91,NN
transfer,3,91,NN
buy,7,91,VB
light,24,90,NN
stayed,8,90,NN
everybodys,6,90,NN
affect,13,90,NN
disinfectant,10,90,NN
security,8,90,NN
wanna,11,90,NN
treat,7,90,NN
based,12,90,VBN
opened,15,90,VBN
services,8,89,NNS
voice,18,89,NN
peoples,17,89,NNS
october,6,89,NN
cops,7,89,NNS
hoping,16,89,VBG
learned,26,89,VBN
bunks,8,88,NNS
government,11,88,NN
idea,14,87,NN
communication,10,87,NN
freedom,27,87,NN
jobs,16,87,NNS
shouldnt,2,87,NN
moderna,14,87,NN
student,26,86,NN
packages,8,86,NNS
listen,13,86,NN
office,8,86,NN
street,7,86,NN
hole,10,86,NN
selfhelp,16,86,NN
learn,29,85,NN
self,16,85,NN
protocols,8,85,NNS
table,8,85,NN
multiple,11,85,NN
son,23,85,NN
experiences,24,84,NNS
handle,3,84,NN
space,13,84,NN
rehabilitation,9,84,NN
toll,13,84,NN
talked,3,84,VBD
figure,8,83,NN
september,11,83,NN
reasons,15,83,NNS
modified,10,83,VBN
filed,3,83,VBN
co,6,82,NN
team,31,82,NN
fast,13,82,NN
held,15,82,NN
protocol,5,82,NN
father,22,82,NN
respect,28,82,NN
effect,13,82,NN
incarceration,17,82,NN
doors,4,82,NNS
regarding,6,82,VBG
blessed,37,82,VBN
request,11,81,NN
difference,11,81,NN
choice,15,81,NN
emergency,7,81,NN
power,26,81,NN
children,16,80,NNS
broke,10,80,NN
cloth,5,80,NN
list,11,80,NN
miss,19,80,NN
sign,12,80,NN
mandatory,8,80,NN
whenever,12,80,NN
courts,9,80,NNS
parents,16,80,NNS
fighting,18,80,VBG
eating,11,80,VBG
looked,14,80,VBD
messed,3,80,VBN
sacramento,0,79,NN
infection,5,79,NN
section,8,79,NN
plan,11,79,NN
report,5,79,NN
sister,16,79,NN
slow,7,79,VB
arrived,9,79,VBN
future,29,78,NN
condition,3,78,NN
drugs,8,78,NNS
precautions,12,78,NNS
gives,15,78,VBZ
listening,12,78,VBG
toilet,6,77,NN
dirty,8,77,NN
violent,2,77,NN
showing,14,77,VBG
filled,17,77,VBN
confined,9,77,VBN
term,6,76,NN
states,14,76,NNS
loss,11,76,NN
tier,6,76,NN
suffer,6,76,NN
officials,8,76,NNS
orange,10,76,NN
weird,2,76,NN
charge,7,75,NN
breath,8,75,NN
remain,14,75,NN
warden,7,75,NN
august,3,75,NN
beds,3,75,NNS
removed,5,75,VBN
cleared,7,75,VBN
swab,5,74,NN
outbreaks,2,74,NNS
works,14,74,NNS
met,10,74,NN
create,3,74,NN
positives,3,74,NNS
chow,6,74,NN
caused,24,74,VBN
holding,8,74,VBG
understanding,20,74,VBG
tired,11,74,VBN
rooms,3,73,NNS
spend,19,73,NN
capacity,5,73,NN
stand,16,73,NN
glad,22,73,NN
created,11,73,VBN
speaking,5,73,VBG
sharing,9,73,VBG
handled,7,73,VBN
struggle,9,72,NN
punishment,4,72,NN
considered,2,72,VBN
leaving,16,72,VBG
pia,5,71,NN
sound,8,71,NN
corrections,10,71,NNS
knowledge,9,71,NN
breakfast,8,71,NN
country,15,71,NN
file,3,71,NN
women,14,71,NNS
ran,19,71,NN
tablets,9,71,NNS
wow,8,71,NN
packed,5,71,NNS
setting,9,71,VBG
drink,11,70,NN
pick,8,70,NN
peace,26,70,NN
abuse,4,70,NN
places,13,70,NNS
clothes,6,70,NNS
maintain,6,70,NN
force,12,70,NN
realize,14,70,VB
mentioned,10,70,VBN
service,11,69,NN
daughter,12,69,NN
fire,9,69,NN
till,17,69,NN
jails,5,69,NNS
johnson,4,69,NN
prevent,10,69,NN
bars,9,69,NNS
count,14,69,NN
judge,7,69,NN
failed,4,69,VBD
showed,6,69,VBD
sentenced,14,69,VBN
deputies,2,68,NNS
eyes,17,68,NNS
worker,10,68,NN
theyd,2,68,NN
random,6,68,NN
begin,11,68,NN
dollars,2,68,NNS
notice,7,68,NN
broken,7,68,NN
cancelled,6,68,VBN
punished,6,68,VBN
policy,3,67,NN
fed,4,67,NN
headaches,4,67,NNS
cares,9,67,NNS
ppe,2,67,NN
ps,20,67,NN
medicine,4,67,NN
losing,12,67,VBG
stated,2,67,VBN
mention,12,66,NN
tells,10,66,NNS
lungs,7,66,NNS
chills,5,66,NNS
city,11,66,NN
restrictions,7,66,NNS
kill,7,66,NN
class,21,66,NN
coughing,4,66,VBG
written,13,66,VBN
wondering,8,66,VBG
reaching,16,66,VBG
trays,9,65,NNS
respond,8,65,NN
joke,6,65,NN
website,11,65,NN
sergeant,5,65,NN
interest,13,65,NN
business,10,65,NN
separated,10,65,VBN
chest,6,64,NN
actions,9,64,NNS
behavior,8,64,NN
ability,19,64,NN
dinner,6,64,NN
changes,17,64,NNS
depression,8,64,NN
measures,5,64,NNS
serve,5,64,NN
lie,7,63,NN
irvine,12,63,NN
opening,10,63,NN
um,1,63,NN
july,9,63,NN
governor,6,63,NN
oxygen,2,63,NN
issued,5,63,VBN
informed,8,63,VBN
reported,6,63,VBD
cleaned,6,63,VBN
record,6,62,NN
