Date,InstitutionName,Latitude,Longitude,TotalConfirmed,TotalDeaths,DistinctPatientsTested,NewInTheLast14Days
12/27/2022,Pleasant Valley State Prison (PVSP),36.194735999999999,-120.30865,2770,3,115,12
12/27/2022,Richard J. Donovan Correctional Facility (RJD),32.572602000000003,-116.918724,1744,21,111,3
12/27/2022,California State Prison-Sacramento (SAC),38.694032999999997,-121.152413,1001,2,42,12
12/27/2022,Substance Abuse Treatment Facility (SATF),36.177360999999998,-119.82042,4830,8,43,3
12/27/2022,Sierra Conservation Center (SCC),37.867243000000002,-120.49157,3382,0,149,39
12/27/2022,California State Prison-Solano (SOL),38.344009999999997,-121.95333,2070,7,47,24
12/27/2022,San Quentin State Prison (SQ),37.943365,-122.49029,3240,28,185,5
12/27/2022,Salinas Valley State Prison (SVSP),36.518179000000003,-121.42557,1283,6,48,14
12/27/2022,Valley State Prison (VSP),37.127524999999999,-120.50574,2251,2,106,2
12/27/2022,Wasco State Prison (WSP),35.605044999999997,-119.37143,5224,2,328,132
12/26/2022,Avenal State Prison (ASP),35.930765999999998,-120.10057,4342,8,88,5
12/26/2022,California City Correctional Facility (CAC),35.139327000000002,-117.91473,1831,2,26,3
12/26/2022,Calipatria State Prison (CAL),33.131763999999997,-115.51208,1482,3,16,2
12/26/2022,California Correctional Center (CCC),40.446063000000002,-120.664132,2598,0,0,0
12/26/2022,California Correctional Institution (CCI),35.132672999999997,-118.50781,1819,4,13,2
12/26/2022,Central California Women's Facility (CCWF),37.100417,-120.27864,2371,1,34,56
12/26/2022,California State Prison-Centinela (CEN),32.853470999999999,-115.58942,1188,1,51,4
12/26/2022,California Health Care Facility (CHCF),37.955474000000002,-121.19064,1901,23,183,31
12/26/2022,California Institution for Men (CIM),34.015962999999999,-117.68737,3885,30,69,27
12/26/2022,California Institution for Women (CIW),33.903803000000003,-117.60221,1059,1,29,5
12/26/2022,California Men's Colony (CMC),35.221085000000002,-120.636399,3714,13,11,10
12/26/2022,California Medical Facility (CMF),38.348959999999998,-121.908324,1978,13,178,32
12/26/2022,California State Prison-Corcoran (COR),36.085341999999997,-119.5548,2610,9,56,22
12/26/2022,California Rehabilitation Center (CRC),33.925885000000001,-117.55978,3712,1,146,166
12/26/2022,Correctional Training Facility (CTF),36.411760000000001,-121.32617,3577,21,101,1
12/26/2022,Chuckawalla Valley State Prison (CVSP),33.628332999999998,-114.61905,2799,9,36,1
12/26/2022,Deuel Vocational Institution (DVI),37.728417,-121.42399,545,0,0,0
12/26/2022,Folsom State Prison (FSP),38.672127000000003,-121.15783,2905,2,44,17
12/26/2022,High Desert State Prison (HDSP),40.474950999999997,-120.67685,2297,2,75,12
12/26/2022,Ironwood State Prison (ISP),33.598689999999998,-114.652517,3146,1,52,8
12/26/2022,Kern Valley State Prison (KVSP),35.771875999999999,-119.26984,1431,7,24,84
12/26/2022,California State Prison-Los Angeles County (LAC),34.728856999999998,-118.32683,2306,15,106,42
12/26/2022,Mule Creek State Prison (MCSP),38.346131999999997,-120.94516,3346,9,94,27
12/26/2022,North Kern State Prison (NKSP),35.774966999999997,-119.23371,4238,6,60,181
12/26/2022,Pelican Bay State Prison (PBSP),41.782680999999997,-124.16703,917,0,11,2
12/26/2022,Pleasant Valley State Prison (PVSP),36.194735999999999,-120.30865,2765,3,24,8
12/26/2022,Richard J. Donovan Correctional Facility (RJD),32.572602000000003,-116.918724,1743,21,137,3
12/26/2022,California State Prison-Sacramento (SAC),38.694032999999997,-121.152413,1001,2,43,12
12/26/2022,Substance Abuse Treatment Facility (SATF),36.177360999999998,-119.82042,4829,8,28,2
12/26/2022,Sierra Conservation Center (SCC),37.867243000000002,-120.49157,3382,0,198,41
12/26/2022,California State Prison-Solano (SOL),38.344009999999997,-121.95333,2069,7,21,23
12/26/2022,San Quentin State Prison (SQ),37.943365,-122.49029,3239,28,14,6
12/26/2022,Salinas Valley State Prison (SVSP),36.518179000000003,-121.42557,1283,6,45,15
12/26/2022,Valley State Prison (VSP),37.127524999999999,-120.50574,2251,2,96,5
12/26/2022,Wasco State Prison (WSP),35.605044999999997,-119.37143,5221,2,532,180
12/25/2022,Avenal State Prison (ASP),35.930765999999998,-120.10057,4342,8,0,5
12/25/2022,California City Correctional Facility (CAC),35.139327000000002,-117.91473,1830,2,8,2
12/25/2022,Calipatria State Prison (CAL),33.131763999999997,-115.51208,1482,3,4,2
12/25/2022,California Correctional Center (CCC),40.446063000000002,-120.664132,2598,0,0,0
12/25/2022,California Correctional Institution (CCI),35.132672999999997,-118.50781,1819,4,12,2
12/25/2022,Central California Women's Facility (CCWF),37.100417,-120.27864,2369,1,49,55
12/25/2022,California State Prison-Centinela (CEN),32.853470999999999,-115.58942,1188,1,25,4
12/25/2022,California Health Care Facility (CHCF),37.955474000000002,-121.19064,1901,23,283,33
12/25/2022,California Institution for Men (CIM),34.015962999999999,-117.68737,3884,30,89,26
12/25/2022,California Institution for Women (CIW),33.903803000000003,-117.60221,1059,1,32,5
12/25/2022,California Men's Colony (CMC),35.221085000000002,-120.636399,3714,13,4,11
12/25/2022,California Medical Facility (CMF),38.348959999999998,-121.908324,1978,13,135,34
12/25/2022,California State Prison-Corcoran (COR),36.085341999999997,-119.5548,2609,9,9,24
12/25/2022,California Rehabilitation Center (CRC),33.925885000000001,-117.55978,3712,1,116,170
12/25/2022,Correctional Training Facility (CTF),36.411760000000001,-121.32617,3577,21,81,1
12/25/2022,Chuckawalla Valley State Prison (CVSP),33.628332999999998,-114.61905,2799,9,37,1
12/25/2022,Deuel Vocational Institution (DVI),37.728417,-121.42399,545,0,0,0
12/25/2022,Folsom State Prison (FSP),38.672127000000003,-121.15783,2905,2,19,17
12/25/2022,High Desert State Prison (HDSP),40.474950999999997,-120.67685,2296,2,37,13
