Filename,NegVaderPosFlair,PosVaderNegFlair,MatchingVaderFlair
Calipatria_20210629_1477_FULL.txt,False,False,False
Calipatria_20210712_1492_FULL.txt,False,False,False
Centinela_20201123_070_FULL.txt,True,False,True
Centinela_20201204_82_PrisonConditions.txt,True,False,True
Centinela_20210121_05_38_Family.txt,False,False,False
Centinela_20210121_05_38_FULL.txt,False,False,False
Centinela_20210121_05_38_Infection.txt,False,False,False
Centinela_20210121_05_38_Prison Conditions.txt,False,False,False
Centinela_20210223_452_Full.txt,False,False,False
Centinela_20210223_452_PrisonConditions_Infection.txt,False,False,False
Centinela_20210223_452_Programs_Family.txt,False,False,False
Centinela_20210331_615_FULL.txt,False,False,False
Centinela_20210331_615_Infection_Stress.txt,False,False,False
Centinela_20210331_615_Programs.txt,False,False,False
Centinela_20210412_57555_FULL.txt,False,False,False
Centinela_20210412_57555_PrisonConditions.txt,False,False,False
Centinela_20210412_57555_Programs.txt,False,False,False
Centinela_20210412_57555_Programs2.txt,False,False,False
Centinela_20210412_57555_Stress.txt,False,False,False
Centinela_20210420_705_Full.txt,False,False,False
Centinela_20210420_705_PrisonConditions.txt,False,False,False
Centinela_20210420_705_PrisonConditions_Family_Infection.txt,True,False,True
Centinela_20210420_705_Stress_Family_PrisonConditions.txt,False,False,False
Centinela_20210420_705_Stress_Infection.txt,False,False,False
Chino_20200430_72_Family.txt,True,False,True
Chino_20200430_72_FULL.txt,True,False,True
Chino_20200430_72_infection.txt,True,False,True
Chino_20200430_72_prisonconditions.txt,True,False,True
Chino_20200828_136_family.txt,False,False,False
Chino_20200828_136_FULL.txt,False,True,True
Chino_20200828_136_Prisonconditions.txt,True,False,True
Chino_20201130_074_Full.txt,True,False,True
Chino_20201130_074_PrisonConditions_Infection.txt,False,False,False
Chino_20201130_074_Stress.txt,True,False,True
Chino_20201130_97_FULL.txt,False,True,True
Chino_20201201_103_Full.txt,False,True,True
Chino_20201201_103_PrisonConditions.txt,True,False,True
Chino_20201201_103_Stress_Family.txt,False,True,True
Chino_20201201_104_FULL.txt,False,False,False
Chino_20201201_104_Prison_Conditions1.txt,False,False,False
Chino_20201201_104_Prison_Conditions2.txt,False,False,False
Chino_20201201_233_FULL.txt,True,False,True
Chino_20201201_233_Infection1.txt,True,False,True
Chino_20201201_233_Infection2.txt,True,False,True
Chino_20201201_233_PrisonConditions1.txt,True,False,True
Chino_20201201_233_PrisonConditions2.txt,True,False,True
Chino_20201201_233_Stress_PrisonConditions.txt,True,False,True
Chino_20201205_92_Family.txt,False,False,False
Chino_20201205_92_FULL.txt,True,False,True
Chino_20201205_92_PrisonConditions1.txt,False,False,False
Chino_20201205_92_PrisonConditions2.txt,False,False,False
Chino_20201205_92_Stress.txt,True,False,True
Chino_20201208_05_53_FULL.txt,True,False,True
Chino_20201208_05_53_Infection.txt,False,False,False
Chino_20201208_05_53_PrisonConditions.txt,False,False,False
Chino_20201208_05_53_PrisonConditions2.txt,True,False,True
Chino_20201208_05_53_Stress.txt,True,False,True
Chino_20201208_05_53_Stress2.txt,False,False,False
Chino_20201209_05_35_FULL_PrisonConditions.txt,True,False,True
Chino_20201209_139_FullPrograms.txt,False,True,True
Chino_20201209_5_35_FULL_PrisonConditions.txt,True,False,True
Chino_20201211_0615_Family_Stress.txt,False,True,True
Chino_20201211_0615_FULL.txt,True,False,True
Chino_20201211_0615_Infection.txt,False,False,False
Chino_20201211_0615_PrisonConditions.txt,True,False,True
Chino_20201213_137_FULL_Infection_Stress.txt,True,False,True
Chino_20201214_138_FULL_Programs_PrisonConditions.txt,False,False,False
Chino_20201214_140_FULL.txt,True,False,True
Chino_20201214_140_Prison Conditions.txt,True,False,True
Chino_20201216_06_02_Family.txt,False,False,False
Chino_20201216_06_02_FULL.txt,False,False,False
Chino_20201216_06_02_Infection.txt,False,False,False
Chino_20201216_06_02_PrisonConditions.txt,False,False,False
Chino_20201218_174_FULL.txt,False,False,False
Chino_20201218_206_Full_PrisonConditions.txt,True,False,True
Chino_20201223_207_FULL.txt,True,False,True
Chino_20201223_207_Infections.txt,True,False,True
Chino_20201223_207_programs.txt,True,False,True
Chino_20201223_207_Stress.txt,True,False,True
Chino_20201223_208_Full.txt,False,False,False
Chino_20201223_209_FULL.docx,False,False,False
Chino_20201223_209_FULL.txt,False,False,False
Chino_20201223_209_PrisonConditions_Infection.txt,True,False,True
Chino_20201223_209_Programs_Infection.txt,False,False,False
Chino_20201223_209_Programs_PrisonConditions_Infection.txt,False,False,False
Chino_20201228_178_Full_PrisonConditions_Infection.txt,True,False,True
Chino_20201231_186_FULL.txt,True,False,True
